3459-55007-554  244.754105   32.364227   52.689320   45.071903  17.56   1.22  -0.16  26.74   0.22   0.94   9.63   25.2   23.0   -2.8  -14.2   17.9  -94.7    3.9   41.2
3459-55007-353  243.480057   31.836790   51.743191   46.074097  16.64   1.26  -0.18  27.39   0.20   1.01   9.96   16.5   15.0    0.9   -9.0   11.9  -10.1    2.4  122.1
3459-55007-493  245.161484   31.054699   50.931332   44.543285  17.12   1.23  -0.20  26.80   0.21   0.91   9.30   20.6   18.4   -1.2  -11.4   14.4  -89.0    2.7   45.2
3459-55007-464  244.561691   31.761620   51.812210   45.153019  18.24   1.34  -0.23  26.09   0.23   1.02   9.44   34.5   31.9   -7.0  -19.1   24.5 -142.7    5.2   -8.4
3459-55007-387  243.946365   31.906502   51.916489   45.690533  16.53   1.12  -0.25  26.02   0.23   1.08   9.87   15.4   13.9    1.4   -8.5   11.0 -180.0    2.3  -46.7
3395-55004-009  189.810379   34.198833  142.520905   82.459862  16.42   1.21  -0.17  26.51   0.25   0.92   9.98   14.9   17.7    9.6   -1.2   14.8  147.8    2.5  171.9
3395-55004-071  189.711807   35.151009  140.696945   81.538467  16.20   1.22  -0.12  26.09   0.24   0.92   9.48   13.5   16.4    9.5   -1.3   13.3  153.0    2.2  180.0
3395-55004-107  189.064789   34.951687  144.541382   81.529938  17.07   1.17  -0.17  27.35   0.23   0.97  10.09   20.1   22.5   10.4   -1.7   19.9   86.5    3.4  111.7
3395-55004-588  190.125961   35.258438  138.283554   81.541382  17.30   1.23  -0.07  23.72   0.24   0.87   8.04   21.9   24.1   10.4   -2.1   21.7   72.1    3.4  100.2
3454-55003-362  237.886597   46.697220   74.257584   49.751751  17.45   1.09  -0.21  25.52   0.23   1.14   9.85   23.5   23.4    3.9  -14.6   17.9 -198.5    4.0  -51.2
3454-55003-468  239.185822   46.503712   73.676094   48.920647  17.64   1.27  -0.17  27.13   0.23   0.94   9.87   26.1   25.9    3.2  -16.5   19.7  -64.2    3.7   85.1
3454-55003-535  240.096893   46.076790   72.860611   48.383636  17.05   1.20  -0.08  25.99   0.25   0.87   8.36   19.5   19.6    4.2  -12.4   14.6 -145.7    2.7    4.6
3454-55003-626  240.449677   46.716728   73.738075   48.027634  17.39   1.26  -0.08  22.99   0.21   0.82   7.78   23.3   23.2    3.6  -15.0   17.3  -16.6    2.9  135.2
3454-55003-637  240.718887   46.732285   73.710213   47.843384  18.66   1.12  -0.10  23.42   0.28   0.76   7.86   41.8   41.1    0.1  -26.9   31.0  -35.0    3.9  117.3
3375-55003-046  191.619888   34.806389  130.499893   82.248871  16.81   1.30  -0.12  22.00   0.26   0.78   7.77   17.9   20.2    9.6   -1.8   17.7  -54.4    2.7  -25.0
3375-55003-069  192.420654   35.599468  125.352440   81.520531  16.19   1.20  -0.14  25.66   0.24   0.93   9.91   13.5   16.2    9.1   -1.6   13.3    5.5    2.1   38.9
